WTP,cam,niv,sin,tor,pem,tis
0,0.417,0,0.183,0.182,0,0.218
600,0.421,0,0.182,0.19,0,0.207
1200,0.426,0,0.178,0.195,0,0.201
1800,0.43,0,0.177,0.198,0,0.195
2400,0.443,0,0.173,0.199,0,0.185
3000,0.445,0,0.173,0.203,0,0.179
3600,0.452,0,0.172,0.208,0,0.168
4200,0.452,0,0.163,0.223,0,0.162
4800,0.459,0,0.157,0.236,0,0.148
5400,0.469,0,0.146,0.261,0,0.124
6000,0.472,0,0.143,0.284,0,0.101
6600,0.479,0,0.127,0.308,0,0.086
7200,0.475,0,0.113,0.34,0,0.072
7800,0.457,0,0.097,0.397,0,0.049
8400,0.421,0,0.084,0.459,0,0.036
9000,0.366,0,0.07,0.539,0,0.025
9600,0.312,0,0.069,0.594,0,0.025
10200,0.286,0,0.083,0.603,0,0.028
10800,0.256,0,0.088,0.622,0,0.034
11400,0.244,0,0.106,0.606,0,0.044
12000,0.227,0,0.122,0.596,0,0.055
12600,0.216,0,0.139,0.582,0,0.063
13200,0.21,0,0.156,0.566,0,0.068
13800,0.205,0,0.17,0.549,0,0.076
14400,0.202,0,0.185,0.531,0,0.082
15000,0.196,0,0.196,0.523,0,0.085
15600,0.196,0,0.201,0.512,0,0.091
16200,0.192,0,0.211,0.505,0,0.092
16800,0.19,0,0.217,0.5,0,0.093
17400,0.19,0,0.219,0.497,0,0.094
18000,0.188,0,0.223,0.493,0,0.096
18600,0.192,0,0.224,0.483,0,0.101
19200,0.191,0,0.229,0.478,0,0.102
19800,0.19,0,0.23,0.475,0,0.105
20400,0.186,0,0.235,0.473,0,0.106
21000,0.182,0,0.238,0.473,0,0.107
21600,0.18,0,0.241,0.47,0,0.109
22200,0.176,0,0.244,0.469,0,0.111
22800,0.177,0,0.246,0.466,0,0.111
23400,0.177,0,0.246,0.466,0,0.111
24000,0.174,0,0.249,0.465,0,0.112
24600,0.174,0,0.248,0.465,0,0.113
25200,0.175,0,0.248,0.462,0,0.115
25800,0.174,0,0.25,0.461,0,0.115
26400,0.173,0,0.25,0.461,0,0.116
27000,0.172,0,0.251,0.461,0,0.116
27600,0.17,0,0.253,0.461,0,0.116
28200,0.17,0,0.253,0.461,0,0.116
28800,0.17,0,0.253,0.461,0,0.116
29400,0.169,0,0.254,0.461,0,0.116
30000,0.169,0,0.255,0.459,0,0.117
30600,0.168,0,0.256,0.458,0,0.118
31200,0.167,0,0.256,0.459,0,0.118
31800,0.167,0,0.257,0.458,0,0.118
32400,0.168,0,0.258,0.454,0,0.12
33000,0.167,0,0.259,0.454,0,0.12
33600,0.166,0,0.259,0.453,0,0.122
34200,0.166,0,0.261,0.451,0,0.122
34800,0.165,0,0.262,0.451,0,0.122
35400,0.165,0,0.262,0.451,0,0.122
36000,0.162,0,0.263,0.451,0,0.124
36600,0.163,0,0.263,0.45,0,0.124
37200,0.162,0,0.264,0.45,0,0.124
37800,0.162,0,0.264,0.45,0,0.124
38400,0.163,0,0.264,0.449,0,0.124
39000,0.161,0,0.266,0.448,0,0.125
39600,0.16,0,0.268,0.446,0,0.126
40200,0.16,0,0.268,0.446,0,0.126
40800,0.16,0,0.268,0.446,0,0.126
41400,0.16,0,0.268,0.446,0,0.126
42000,0.159,0,0.268,0.446,0,0.127
42600,0.159,0,0.268,0.445,0,0.128
43200,0.159,0,0.268,0.445,0,0.128
43800,0.159,0,0.268,0.445,0,0.128
44400,0.159,0,0.268,0.445,0,0.128
45000,0.159,0,0.27,0.443,0,0.128
45600,0.159,0,0.27,0.443,0,0.128
46200,0.159,0,0.27,0.443,0,0.128
46800,0.159,0,0.27,0.443,0,0.128
47400,0.159,0,0.27,0.442,0,0.129
48000,0.159,0,0.271,0.442,0,0.128
48600,0.159,0,0.271,0.441,0,0.129
49200,0.159,0,0.27,0.441,0,0.13
49800,0.159,0,0.27,0.441,0,0.13
50400,0.159,0,0.27,0.441,0,0.13
51000,0.159,0,0.27,0.439,0,0.132
51600,0.159,0,0.27,0.439,0,0.132
52200,0.159,0,0.27,0.439,0,0.132
52800,0.159,0,0.27,0.439,0,0.132
53400,0.159,0,0.27,0.439,0,0.132
54000,0.159,0,0.27,0.439,0,0.132
54600,0.159,0,0.27,0.439,0,0.132
55200,0.159,0,0.27,0.439,0,0.132
55800,0.159,0,0.27,0.439,0,0.132
56400,0.159,0,0.27,0.439,0,0.132
57000,0.159,0,0.268,0.439,0,0.134
57600,0.159,0,0.268,0.439,0,0.134
58200,0.159,0,0.268,0.439,0,0.134
58800,0.159,0,0.268,0.439,0,0.134
59400,0.159,0,0.268,0.439,0,0.134
60000,0.159,0,0.268,0.439,0,0.134
